Table,Field,extract_tours,link_trip
households,hh_id,x,x
households,home_lat,,
households,home_lon,,
persons,person_id,x,x
persons,hh_id,x,x
persons,age,,
persons,work_lat,,
persons,work_lon,,
persons,school_lat,,
persons,school_lon,,
persons,person_type,,
days,person_id,x,x
days,day_id,x,x
days,hh_id,x,x
days,travel_dow,,
unlinked_trips,trip_id,x,x
unlinked_trips,day_id,x,x
unlinked_trips,person_id,x,x
unlinked_trips,hh_id,x,x
unlinked_trips,linked_trip_id,x,
unlinked_trips,tour_id,x,
unlinked_trips,depart_date,,
unlinked_trips,depart_hour,,
unlinked_trips,depart_minute,,
unlinked_trips,depart_seconds,,
unlinked_trips,arrive_date,,
unlinked_trips,arrive_hour,,
unlinked_trips,arrive_minute,,
unlinked_trips,arrive_seconds,,
unlinked_trips,o_purpose_category,,
unlinked_trips,d_purpose_category,,
unlinked_trips,mode_type,,
unlinked_trips,duration_minutes,,
unlinked_trips,distance_miles,,
unlinked_trips,depart_time,,x
unlinked_trips,arrive_time,,x
linked_trips,day_id,,+
linked_trips,person_id,,+
linked_trips,hh_id,,+
linked_trips,linked_trip_id,,
linked_trips,tour_id,,
linked_trips,depart_date,,
linked_trips,depart_hour,,+
linked_trips,depart_minute,,+
linked_trips,depart_seconds,,+
linked_trips,arrive_date,,+
linked_trips,arrive_hour,,+
linked_trips,arrive_minute,,+
linked_trips,arrive_seconds,,+
linked_trips,o_purpose_category,,+
linked_trips,d_purpose_category,,+
linked_trips,mode_type,,+
linked_trips,duration_minutes,,+
linked_trips,distance_miles,,+
linked_trips,depart_time,,
linked_trips,arrive_time,,
linked_trips,is_primary_dest_trip,,
tours,tour_id,+,
tours,person_id,+,
tours,day_id,+,
tours,tour_sequence_num,,
tours,tour_category,,
tours,parent_tour_id,+,
tours,primary_purpose,+,
tours,primary_dest_purpose,+,
tours,purpose_priority,+,
tours,origin_depart_time,+,
tours,dest_arrive_time,+,
tours,dest_depart_time,+,
tours,origin_arrive_time,+,
tours,o_lat,+,
tours,o_lon,+,
tours,d_lat,+,
tours,d_lon,+,
tours,o_location_type,+,
tours,d_location_type,+,
tours,tour_mode,+,
tours,outbound_mode,+,
tours,inbound_mode,+,
tours,num_outbound_stops,+,
tours,num_inbound_stops,+,
tours,is_primary_tour,+,
tours,tour_starts_at_origin,+,
tours,tour_ends_at_origin,+,
